Date,Registration Count,in State,has bid,has win,has purchase,deactivated
"Jan 3, 2026",116,114,116,80,60,0
"Jan 2, 2026",124,120,124,87,70,2
"Jan 1, 2026",100,95,100,62,50,0
"Dec 31, 2025",105,101,105,62,46,0
"Dec 30, 2025",113,105,113,83,55,2
"Dec 29, 2025",129,125,129,90,68,0
"Dec 28, 2025",144,139,144,104,78,0
"Dec 27, 2025",108,107,108,64,49,0
"Dec 26, 2025",120,112,120,89,65,0
"Dec 25, 2025",94,92,94,67,53,0
"Dec 24, 2025",70,66,70,49,40,0
"Dec 23, 2025",92,90,92,71,52,1
"Dec 22, 2025",105,104,105,76,53,1
"Dec 21, 2025",135,130,135,104,86,1
"Dec 20, 2025",109,105,109,83,64,1
"Dec 19, 2025",102,98,102,74,51,2
"Dec 18, 2025",120,117,120,86,70,1
"Dec 17, 2025",101,97,101,71,55,0
"Dec 16, 2025",122,116,122,86,60,0
"Dec 15, 2025",127,123,127,91,73,0
"Dec 14, 2025",138,132,138,105,86,0
"Dec 13, 2025",127,124,127,105,77,1
"Dec 12, 2025",86,85,86,67,54,0
"Dec 11, 2025",102,94,102,72,55,0
"Dec 10, 2025",151,148,151,117,85,1
"Dec 9, 2025",135,131,135,101,66,1
"Dec 8, 2025",121,119,121,92,69,0
"Dec 7, 2025",133,132,133,104,80,0
"Dec 6, 2025",130,125,130,106,79,0
"Dec 5, 2025",145,142,145,103,76,0
"Dec 4, 2025",138,129,138,99,75,0
"Dec 3, 2025",112,108,112,75,61,0
"Dec 2, 2025",104,103,104,68,53,0
"Dec 1, 2025",119,116,119,82,66,0
"Nov 30, 2025",132,127,132,97,76,0
"Nov 29, 2025",110,106,110,83,58,0
"Nov 28, 2025",149,145,149,110,90,0
"Nov 27, 2025",103,100,103,75,55,0
"Nov 26, 2025",115,111,115,89,66,0
"Nov 25, 2025",105,98,105,79,64,1
"Nov 24, 2025",107,103,107,77,59,0
"Nov 23, 2025",145,139,145,116,83,0
"Nov 22, 2025",100,96,100,70,51,0
"Nov 21, 2025",109,107,109,79,62,0
"Nov 20, 2025",122,119,122,94,74,0
"Nov 19, 2025",121,118,121,87,66,0
"Nov 18, 2025",135,127,135,96,75,1
"Nov 17, 2025",146,141,146,107,89,0
"Nov 16, 2025",163,160,163,116,95,0
"Nov 15, 2025",117,116,117,94,72,0
"Nov 14, 2025",123,121,123,108,78,0
"Nov 13, 2025",162,159,162,122,95,1
"Nov 12, 2025",131,126,131,106,81,0
"Nov 11, 2025",112,109,112,89,76,0
"Nov 10, 2025",134,131,134,99,76,0
"Nov 9, 2025",125,124,125,86,71,0
"Nov 8, 2025",135,130,135,104,69,0
"Nov 7, 2025",114,112,114,81,62,0
"Nov 6, 2025",125,123,125,88,59,0
"Nov 5, 2025",116,111,116,88,69,0
"Nov 4, 2025",128,123,128,95,68,0
"Nov 3, 2025",115,113,115,87,75,0
"Nov 2, 2025",107,106,107,85,66,0
"Nov 1, 2025",108,107,108,80,62,0
"Oct 31, 2025",113,110,113,95,74,0
"Oct 30, 2025",125,124,125,92,66,1
"Oct 29, 2025",123,122,123,88,66,0
"Oct 28, 2025",134,131,134,100,77,1
"Oct 27, 2025",132,129,132,99,79,0
"Oct 26, 2025",141,138,141,108,81,0
"Oct 25, 2025",126,122,126,91,76,0
"Oct 24, 2025",126,120,126,98,71,0
"Oct 23, 2025",106,103,106,81,62,1
"Oct 22, 2025",117,116,117,81,65,0
"Oct 21, 2025",93,89,93,73,65,0
"Oct 20, 2025",100,99,100,74,56,0
"Oct 19, 2025",136,134,136,102,77,0
"Oct 18, 2025",109,105,109,90,67,0
"Oct 17, 2025",116,115,116,98,78,0
"Oct 16, 2025",100,93,100,68,57,0
"Oct 15, 2025",120,115,120,83,70,0
"Oct 14, 2025",102,97,102,78,55,0
"Oct 13, 2025",106,101,106,83,67,0
"Oct 12, 2025",116,114,116,85,66,0
"Oct 11, 2025",138,133,138,91,67,0
"Oct 10, 2025",92,89,92,72,59,0
"Oct 9, 2025",111,110,111,83,72,0
"Oct 8, 2025",119,115,119,100,77,0
"Oct 7, 2025",109,105,109,89,65,0
"Oct 6, 2025",125,117,125,93,71,0
"Oct 5, 2025",147,140,147,104,88,0
"Oct 4, 2025",157,153,157,122,104,0
"Oct 3, 2025",135,132,135,99,69,0
"Oct 2, 2025",96,91,96,71,53,0
"Oct 1, 2025",110,105,110,84,62,0
"Sep 30, 2025",134,128,134,99,73,0
"Sep 29, 2025",120,116,120,92,71,0
"Sep 28, 2025",129,127,129,98,78,0
"Sep 27, 2025",148,146,148,116,96,0
"Sep 26, 2025",99,92,99,71,59,0
"Sep 25, 2025",101,100,101,68,52,0
"Sep 24, 2025",126,122,126,91,72,0
"Sep 23, 2025",146,136,146,102,79,0
"Sep 22, 2025",140,133,140,110,83,0
"Sep 21, 2025",135,132,135,93,75,0
"Sep 20, 2025",122,120,122,94,69,0
"Sep 19, 2025",135,133,135,102,82,0
"Sep 18, 2025",117,113,117,85,73,0
"Sep 17, 2025",116,112,116,89,75,0
"Sep 16, 2025",103,100,103,78,62,0
"Sep 15, 2025",160,155,160,127,104,0
"Sep 14, 2025",156,153,156,101,80,0
"Sep 13, 2025",125,121,125,95,82,0
"Sep 12, 2025",129,120,129,94,69,0
"Sep 11, 2025",142,136,142,101,82,0
"Sep 10, 2025",123,113,123,85,66,0
"Sep 9, 2025",107,104,107,79,61,0
"Sep 8, 2025",128,121,128,91,69,0
"Sep 7, 2025",167,163,167,127,98,0
"Sep 6, 2025",126,123,126,100,82,0
"Sep 5, 2025",133,130,133,88,75,0
"Sep 4, 2025",149,141,149,109,84,0
"Sep 3, 2025",126,120,126,97,70,0
"Sep 2, 2025",120,113,120,99,66,0
"Sep 1, 2025",146,143,146,105,83,0
"Aug 31, 2025",152,149,152,104,81,0
"Aug 30, 2025",130,119,130,85,59,1
"Aug 29, 2025",115,110,115,80,59,0
"Aug 28, 2025",139,137,139,101,70,0
"Aug 27, 2025",149,147,149,105,86,0
"Aug 26, 2025",105,103,105,74,62,0
"Aug 25, 2025",149,147,149,113,88,0
"Aug 24, 2025",151,145,151,104,76,0
"Aug 23, 2025",117,115,117,91,71,0
"Aug 22, 2025",110,106,110,82,63,0
"Aug 21, 2025",122,117,122,84,71,0
"Aug 20, 2025",148,145,148,106,86,0
"Aug 19, 2025",114,110,114,80,62,0
"Aug 18, 2025",128,125,128,89,70,0
"Aug 17, 2025",155,150,155,114,92,0
"Aug 16, 2025",163,157,163,120,98,0
"Aug 15, 2025",155,151,155,120,97,0
"Aug 14, 2025",161,156,161,121,94,0
"Aug 13, 2025",167,157,167,115,88,0
"Aug 12, 2025",164,152,164,112,85,1
"Aug 11, 2025",165,150,165,132,105,0
"Aug 10, 2025",184,172,184,128,97,0
"Aug 9, 2025",172,168,172,126,102,0
"Aug 8, 2025",197,183,197,147,110,0
"Aug 7, 2025",275,240,275,165,116,0
"Aug 6, 2025",243,218,243,162,114,0
"Aug 5, 2025",148,140,148,106,72,0
"Aug 4, 2025",155,150,155,113,94,0
"Aug 3, 2025",159,154,159,112,79,0
"Aug 2, 2025",155,152,155,122,93,0
"Aug 1, 2025",107,105,107,79,53,0
"Jul 31, 2025",144,138,144,98,67,0
"Jul 30, 2025",127,125,127,88,61,0
"Jul 29, 2025",143,141,143,97,73,0
"Jul 28, 2025",114,111,114,87,69,0
"Jul 27, 2025",156,154,156,113,81,0
"Jul 26, 2025",149,144,149,106,77,1
"Jul 25, 2025",138,135,138,95,76,0
"Jul 24, 2025",116,113,116,87,69,0
"Jul 23, 2025",134,127,134,93,71,0
"Jul 22, 2025",124,121,124,81,63,0
"Jul 21, 2025",119,119,119,89,61,0
"Jul 20, 2025",145,142,145,101,79,0
"Jul 19, 2025",144,142,144,106,75,0
"Jul 18, 2025",145,141,145,109,89,0
"Jul 17, 2025",132,130,132,99,78,0
"Jul 16, 2025",169,165,169,126,93,0
"Jul 15, 2025",152,150,152,116,89,0
"Jul 14, 2025",164,161,164,109,81,0
"Jul 13, 2025",174,174,174,135,103,0
"Jul 12, 2025",196,191,196,144,112,0
"Jul 11, 2025",167,162,167,117,86,0
"Jul 10, 2025",170,165,170,120,97,0
"Jul 9, 2025",117,114,117,82,63,0
"Jul 8, 2025",124,119,124,91,74,0
"Jul 7, 2025",96,93,96,78,61,0
"Jul 6, 2025",143,139,143,105,73,0
"Jul 5, 2025",134,132,134,93,69,0
"Jul 4, 2025",133,130,133,95,75,0
"Jul 3, 2025",124,120,124,89,66,0
"Jul 2, 2025",127,123,127,102,77,0
"Jul 1, 2025",140,138,140,111,95,0
"Jun 30, 2025",119,117,119,82,66,1
"Jun 29, 2025",150,143,150,113,88,0
"Jun 28, 2025",134,129,134,107,83,0
"Jun 27, 2025",124,121,124,85,69,0
"Jun 26, 2025",122,117,122,97,68,0
"Jun 25, 2025",111,108,111,85,69,0
"Jun 24, 2025",124,116,124,86,73,0
"Jun 23, 2025",111,108,111,88,72,0
"Jun 22, 2025",134,131,134,82,60,0
"Jun 21, 2025",126,122,126,91,71,0
"Jun 20, 2025",119,117,119,92,75,0
"Jun 19, 2025",149,145,149,107,84,0
"Jun 18, 2025",115,112,115,104,87,0
"Jun 17, 2025",123,121,123,99,75,0
"Jun 16, 2025",131,130,131,96,76,0
"Jun 15, 2025",129,129,129,100,83,0
"Jun 14, 2025",122,120,122,96,79,0
"Jun 13, 2025",123,121,123,92,69,0
"Jun 12, 2025",123,119,123,94,65,0
"Jun 11, 2025",134,129,134,96,73,0
"Jun 10, 2025",128,126,128,88,69,0
"Jun 9, 2025",130,128,130,98,69,0
"Jun 8, 2025",127,123,127,96,81,0
"Jun 7, 2025",138,135,138,106,84,0
"Jun 6, 2025",114,111,114,89,72,0
"Jun 5, 2025",105,103,105,79,63,0
"Jun 4, 2025",141,140,141,101,72,0
"Jun 3, 2025",108,107,108,78,62,0
"Jun 2, 2025",126,124,126,104,90,0
"Jun 1, 2025",145,144,145,108,87,0
"May 31, 2025",169,163,169,135,101,1
"May 30, 2025",125,120,125,93,75,0
"May 29, 2025",132,126,132,105,81,1
"May 28, 2025",135,131,135,111,83,0
"May 27, 2025",162,159,162,124,96,0
"May 26, 2025",159,156,159,120,96,0
"May 25, 2025",136,134,136,102,71,0
"May 24, 2025",149,144,149,117,97,0
"May 23, 2025",169,167,169,116,90,0
"May 22, 2025",166,162,166,122,97,0
"May 21, 2025",98,96,98,77,61,0
"May 20, 2025",95,94,95,72,52,0
"May 19, 2025",80,79,80,59,48,0
"May 18, 2025",80,79,80,59,49,0
"May 17, 2025",91,90,91,66,52,0
"May 16, 2025",80,78,80,55,42,0
"May 15, 2025",84,80,84,72,59,0
"May 14, 2025",50,47,50,41,34,1
"May 13, 2025",56,55,56,45,39,0
"May 12, 2025",43,39,43,36,25,0
"May 11, 2025",51,47,51,41,34,0
"May 10, 2025",57,54,57,38,31,1
"May 9, 2025",43,41,43,36,28,0
"May 8, 2025",42,41,42,36,30,0
"May 7, 2025",38,37,38,30,25,1
"May 6, 2025",52,52,52,46,37,0
"May 5, 2025",35,33,35,29,24,0
"May 4, 2025",39,39,39,35,31,0
"May 3, 2025",49,47,49,43,35,0
"May 2, 2025",35,33,35,30,21,0
"May 1, 2025",47,41,47,39,32,0
"Apr 30, 2025",49,47,49,42,28,0
"Apr 29, 2025",56,48,56,41,29,0
"Apr 28, 2025",71,70,71,55,43,0
"Apr 27, 2025",74,71,74,56,42,0
"Apr 26, 2025",63,60,63,51,42,0
"Apr 25, 2025",53,50,53,47,40,0
"Apr 24, 2025",39,37,39,30,23,0
"Apr 23, 2025",41,38,41,31,27,0
"Apr 22, 2025",50,48,50,36,29,0
"Apr 21, 2025",44,40,44,36,25,1
"Apr 20, 2025",44,43,44,37,29,0
"Apr 19, 2025",44,42,44,35,32,0
"Apr 18, 2025",46,46,46,38,31,1
"Apr 17, 2025",38,36,38,35,26,0
"Apr 16, 2025",39,38,39,32,29,0
"Apr 15, 2025",49,48,49,38,35,0
"Apr 14, 2025",34,32,34,27,22,0
"Apr 13, 2025",33,33,33,25,17,0
"Apr 12, 2025",60,56,60,48,36,0
"Apr 11, 2025",54,53,54,44,38,0
"Apr 10, 2025",56,54,56,46,35,0
"Apr 9, 2025",88,80,88,65,47,0
"Apr 8, 2025",58,54,58,46,34,0
"Apr 7, 2025",47,43,47,37,34,0
"Apr 6, 2025",64,62,64,52,42,1
"Apr 5, 2025",70,69,70,59,46,0
"Apr 4, 2025",56,56,56,50,43,0
"Apr 3, 2025",70,69,70,61,52,0
"Apr 2, 2025",8100,7889,8100,7213,6461,7
"Apr 1, 2025",30,29,30,25,22,0
"Mar 31, 2025",14,14,14,11,7,0
"Mar 30, 2025",12,12,12,9,5,0
"Mar 29, 2025",11,10,11,8,8,0
"Mar 28, 2025",24,24,24,21,17,0
"Mar 27, 2025",7,7,7,4,1,0
"Mar 26, 2025",3,3,3,1,1,0
"Mar 25, 2025",8,8,8,5,4,0
"Mar 24, 2025",9,9,9,3,2,0
"Mar 23, 2025",8,8,8,5,2,0
"Mar 22, 2025",4,4,4,2,1,0
"Mar 21, 2025",4,4,4,2,2,0
"Mar 20, 2025",11,11,11,10,7,0
"Mar 19, 2025",10,9,10,7,7,0
"Mar 18, 2025",8,8,8,6,3,0
"Mar 17, 2025",4,3,4,1,0,0
"Mar 16, 2025",5,4,5,3,1,0
"Mar 15, 2025",14,13,14,9,3,0
"Mar 14, 2025",4,2,4,1,0,0
"Mar 13, 2025",10,10,10,5,3,0
"Mar 12, 2025",5,5,5,3,2,0
"Mar 11, 2025",3,3,3,3,3,0
"Mar 10, 2025",2,2,2,2,1,0
"Mar 9, 2025",12,12,12,10,8,0
"Mar 8, 2025",8,8,8,6,4,0
"Mar 7, 2025",9,9,9,5,2,0
"Mar 6, 2025",8,7,8,3,2,0
"Mar 5, 2025",3,3,3,2,2,0
"Mar 4, 2025",7,7,7,4,4,0
"Mar 3, 2025",5,4,5,4,1,0
"Mar 2, 2025",8,8,8,6,2,0
"Mar 1, 2025",5,4,5,3,0,0
